,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10
OTU_001,43,56,65,89,62,15,94,68,49,68,13,0,69,78,40,42,55,21,42,36
OTU_002,0,0,36,0,38,109,83,0,3,0,0,0,121,0,90,431,86,0,1,0
OTU_003,1,0,0,4,0,0,2,1,1,0,45,0,134,397,68,80,145,57,43,12
OTU_004,23,50,14,42,26,16,10,33,36,32,85,17,106,119,70,93,43,35,66,73
OTU_005,55,106,122,216,41,23,202,22,173,21,0,0,0,1,0,0,0,0,0,0
OTU_006,21,40,30,55,20,23,7,15,19,14,66,0,45,147,44,147,36,68,113,67
OTU_007,78,54,1,56,31,101,10,7,73,4,116,48,8,90,81,170,15,0,14,18
OTU_008,0,0,0,0,0,0,1,0,0,0,53,0,162,127,106,186,37,40,110,152
OTU_009,0,0,0,0,0,21,0,0,0,0,174,14,71,83,65,159,115,72,59,111
OTU_010,0,0,0,0,0,0,0,0,0,0,88,10,153,96,70,137,107,85,92,66
OTU_011,0,0,0,0,0,0,0,0,0,0,58,8,262,74,22,56,6,21,301,37
OTU_012,8,488,17,26,4,19,13,0,16,0,17,58,63,12,45,9,0,14,14,14
OTU_013,13,2,12,100,2,9,16,21,14,11,21,0,123,193,63,74,6,36,58,48
OTU_014,0,0,0,0,127,313,0,0,0,0,0,0,0,0,18,330,12,0,0,0
OTU_015,18,148,67,0,16,40,17,21,3,13,13,27,105,25,12,110,72,24,15,47
OTU_016,16,26,42,56,26,12,23,31,26,7,113,0,87,49,33,54,26,54,21,59
OTU_017,87,1,19,26,21,23,18,2,54,11,146,0,48,53,42,30,50,18,51,34
OTU_018,0,0,0,0,0,0,0,0,0,0,61,0,122,54,72,102,95,29,128,62
OTU_019,2,0,2,3,4,2,0,0,0,0,107,0,79,107,72,105,93,24,58,63
OTU_020,3,32,25,23,33,5,19,28,11,16,52,34,81,15,38,85,74,54,35,34
OTU_021,2,34,20,42,17,15,12,5,19,11,49,0,63,48,93,131,29,27,31,31
OTU_022,76,49,149,110,53,54,31,22,78,36,0,0,0,0,0,0,0,0,0,0
OTU_023,25,27,56,51,18,26,72,47,11,38,19,0,25,48,36,84,19,6,13,23
OTU_024,35,69,57,64,72,49,75,21,96,59,6,0,1,1,0,0,1,0,0,0
OTU_025,6,2,5,30,2,7,11,0,18,7,81,0,63,73,13,102,84,31,25,44
OTU_026,3,12,19,24,1,7,17,14,3,19,66,0,100,55,67,94,52,12,21,11
OTU_027,16,28,20,28,17,16,45,12,15,49,15,14,71,26,46,40,76,36,22,3
OTU_028,19,15,11,18,2,17,0,1,14,0,44,1,97,67,44,44,29,43,74,52
OTU_029,27,26,35,10,0,7,7,8,0,16,44,10,45,74,46,35,67,30,28,57
OTU_030,2,6,18,4,30,1,16,25,20,22,19,37,74,61,52,46,31,30,52,16
